Target,Source,Weight
men,knowledg,19
men,world,55
men,thousand,21
knowledg,world,46
thousand,knowledg,17
knowledg,field,10
thousand,world,45
field,world,19
see,see,22
buddha,see,11
sign,sign,19
sign,great,10
sign,buddha,11
great,great,106
great,son,16
great,buddha,21
know,great,10
explain,explain,18
matter,matter,13
buddha,son,31
know,buddha,14
know,know,55
congreg,congreg,13
hero,hero,23
doubt,doubt,22
sugata,great,13
light,light,10
power,great,25
leader,great,26
men,great,17
men,holi,10
holi,holi,10
great,world,47
thousand,great,20
men,lord,22
lord,law,45
lord,enlighten,23
bodhisattva,lord,82
men,enlighten,14
futur,law,18
highest,enlighten,38
highest,bodhisattva,10
terrac,terrac,13
terrac,enlighten,23
futur,futur,17
infinit,infinit,12
sight,sight,12
men,gina,19
god,gina,11
past,past,11
period,period,16
inconceiv,inconceiv,14
kalpa,kalpa,26
highest,gina,20
exist,gina,18
preach,buddha,26
knowledg,preach,10
true,law,57
true,koti,10
be,true,10
true,buddha,13
leader,law,40
infinit,law,10
law,number,14
knowledg,law,28
creatur,leader,17
leader,koti,16
be,leader,12
leader,buddha,15
creatur,be,12
creatur,knowledg,20
koti,educ,12
be,educ,14
number,number,33
koti,number,34
inconceiv,number,10
bodhisattva,number,16
koti,rous,10
koti,inconceiv,21
koti,knowledg,26
be,bodhisattva,16
be,buddha,32
be,knowledg,22
bodhisattva,suprem,13
suprem,buddha,26
knowledg,suprem,16
leader,son,16
son,princ,11
leader,life,12
princ,princ,12
sage,great,14
sage,sage,24
life,life,31
lord,world,112
thousand,lord,50
koti,lord,22
be,lord,13
sûtra,lord,13
proclaim,world,14
reveal,world,24
live,world,33
be,world,64
sûtra,world,39
call,world,11
sûtra,proclaim,13
sûtra,law,27
call,law,17
be,reveal,20
sûtra,reveal,10
sûtra,thousand,16
sûtra,koti,36
sûtra,sûtra,113
call,call,22
deliv,deliv,14
deliv,law,10
leader,medit,10
enter,enter,13
law,medit,19
absorb,medit,14
seat,seat,22
emin,law,14
seer,law,14
continu,law,20
seer,seer,27
continu,continu,23
highest,god,10
men,paid,10
buddha,chief,16
great,chief,11
chief,chief,35
quarter,world,12
appear,world,33
manifest,manifest,16
god,nâga,12
nâga,nâga,10
nâga,goblin,18
occupi,occupi,10
born,buddha,18
buddha,like,15
born,self,24
born,law,18
be,like,19
appear,law,18
law,accord,18
assembl,law,12
sugata,discipl,12
field,discipl,11
count,count,10
cours,son,14
cours,leader,10
numer,bodhisattva,12
bodhisattva,wise,20
give,like,10
give,give,20
wise,wise,29
seen,seen,20
true,enlighten,11
point,law,11
law,state,12
know,law,22
produc,law,17
power,law,11
point,point,21
mighti,mighti,22
leader,god,23
worship,world,12
god,world,69
medit,world,10
son,world,28
wise,world,19
bodhisattva,world,50
worship,law,10
god,law,20
varaprabha,law,14
wise,law,16
preacher,preacher,15
preacher,law,15
be,wise,12
weal,world,16
keeper,law,12
weal,law,10
lai,lai,10
law,fulli,11
law,intermedi,20
kalpa,law,18
fulli,fulli,11
kalpa,intermedi,42
suprem,lord,12
suprem,world,30
lord,lord,103
seat,lord,27
kept,lord,12
lord,son,10
continu,world,15
seat,world,15
kept,world,10
sit,sit,20
seat,sit,12
dai,gina,16
manifest,law,16
suprem,god,10
dai,law,23
dai,dai,33
dai,world,18
includ,world,39
follow,world,13
includ,includ,18
includ,god,44
follow,follow,24
rule,time,10
natur,law,20
monk,law,21
law,time,45
nirvâna,law,21
natur,natur,17
nirvâna,monk,10
time,time,79
nirvâna,nirvâna,31
middl,middl,10
great,gina,14
seer,gina,10
seer,great,41
koti,great,26
great,æon,12
rare,rare,14
rare,met,10
koti,rare,10
myriad,æon,16
koti,æon,91
æon,æon,73
heard,buddha,11
highest,buddha,17
men,buddha,41
announc,buddha,14
nirvâna,buddha,15
voic,heard,18
voic,men,10
near,near,10
monk,koti,10
king,live,10
buddha,live,15
said,said,12
monk,buddha,17
cours,knowledg,16
cours,reach,12
cours,gina,10
faultless,faultless,15
gina,faultless,10
knowledg,reach,14
knowledg,gina,16
reach,gina,18
highest,suprem,30
complet,extinct,40
extinct,extinct,54
koti,extinct,14
number,like,10
monk,nun,15
nun,nun,10
enlighten,time,18
expound,law,49
command,law,12
expound,expound,35
sugata,expound,10
brought,brought,11
brought,koti,10
worship,koti,13
worship,buddha,13
cours,follow,17
buddha,follow,19
success,follow,11
cours,buddha,40
futur,buddha,16
success,success,11
god,buddha,20
buddha,honour,18
thousand,follow,13
koti,follow,14
be,god,18
thousand,honour,23
koti,honour,18
time,gina,13
teach,teach,12
teach,law,13
known,known,10
good,good,54
thousand,went,18
duti,thousand,10
cours,koti,24
duti,koti,18
duti,buddha,26
went,went,10
present,present,15
reach,superior,10
thousand,reach,10
koti,reach,15
koti,superior,20
lord,known,12
thousand,known,10
famili,famili,10
creatur,thousand,12
sugata,extinct,12
law,extinct,43
kind,kind,18
chief,gina,22
see,gina,10
know,gina,10
heard,gina,11
truth,truth,16
skil,skil,22
leader,skil,13
law,skil,20
declar,declar,16
declar,law,17
mind,law,14
join,law,14
hand,law,14
merci,world,10
go,world,10
speak,world,25
rain,world,12
refresh,world,20
enlighten,world,38
go,go,13
speak,speak,32
speak,law,16
speak,enlighten,12
endless,endless,18
rain,law,22
refresh,law,16
refresh,refresh,10
doubt,feel,12
doubt,uncertainti,12
children,children,12
great,hero,29
great,god,18
creatur,great,12
hero,world,12
complet,world,26
know,world,24
men,complet,12
complet,leader,14
power,emancip,13
power,buddha,16
emancip,emancip,11
properti,properti,13
koti,good,20
koti,difficult,12
buddha,good,19
understand,buddha,10
difficult,difficult,20
inconceiv,æon,19
æon,number,30
enlighten,number,13
enlighten,æon,13
like,world,36
chief,world,35
explain,law,10
abl,abl,20
knowledg,discipl,12
prais,world,13
bodili,world,10
exist,world,20
duti,knowledg,10
receiv,receiv,11
stage,stage,10
exist,bodili,13
be,sugata,13
point,space,14
immens,immens,14
free,free,18
knowledg,free,13
stand,stand,32
koti,endless,15
myriad,superior,10
æon,superior,14
law,æon,34
law,superior,41
real,law,12
real,real,15
real,mean,12
point,koti,11
have,koti,18
koti,vehicl,12
sand,æon,10
gang,æon,10
knowledg,æon,10
law,faultless,17
direct,law,14
buddha,gina,41
direct,world,23
long,gina,16
speak,truth,10
highest,great,15
long,long,30
enlighten,discipl,35
nirvâna,discipl,10
nirvâna,reach,19
world,superior,19
skil,world,18
vehicl,skil,10
great,law,35
great,vehicl,12
deliv,world,11
mysteri,mysteri,15
obtain,knowledg,12
word,word,41
be,mind,10
god,enlighten,16
great,enlighten,13
look,look,11
perfect,perfect,20
perfect,virtu,10
men,suprem,22
final,final,10
voic,like,12
heard,law,34
resound,law,10
like,gina,18
law,stand,17
god,superior,11
thousand,number,30
thousand,fulli,11
koti,stand,10
stand,enlighten,10
think,think,42
emin,thousand,12
expound,gina,14
sugata,thousand,18
speak,men,12
men,reveal,14
law,believ,10
high,high,19
high,men,24
men,koti,18
be,men,26
believ,believ,14
long,law,22
brought,matur,14
equal,equal,28
nun,lai,10
devote,nun,10
devote,lai,14
train,train,11
awai,awai,15
hear,lord,10
congreg,law,13
merit,hear,19
hear,law,66
pure,pure,25
buddha,hear,22
preach,hear,15
law,man,22
mighti,law,14
man,man,102
preach,man,10
mighti,buddha,13
buddha,skil,21
disposit,disposit,18
be,disposit,10
disposit,world,12
be,good,12
good,world,20
be,hundr,12
hundr,law,12
argument,law,12
manifold,manifold,10
argument,reason,10
ignor,ignor,27
buddha,ignor,11
low,disposit,12
koti,exist,18
buddha,continu,10
exist,buddha,18
manifest,buddha,19
have,come,10
right,right,10
right,time,11
speak,time,14
perceiv,perceiv,19
moment,moment,13
come,come,47
devic,devic,17
pure,world,11
known,world,13
pure,buddha,12
pure,koti,10
sûtra,wise,10
mind,good,10
sûtra,good,17
mind,sûtra,10
buddha,compassion,11
sûtra,buddha,22
form,form,10
benevol,benevol,10
hear,world,23
sûtra,hear,23
buddha,thought,14
thought,world,10
emin,buddha,12
emin,world,12
perceiv,world,13
word,discipl,11
leader,enlighten,17
listen,listen,19
word,enlighten,15
lead,enlighten,14
second,vehicl,15
second,world,12
establish,establish,12
establish,knowledg,10
be,power,10
be,perfect,10
be,faculti,12
establish,enlighten,10
teach,world,10
thirti,thirti,14
characterist,thirti,15
hundr,world,12
natur,world,10
be,think,12
world,self,12
born,world,44
seer,world,21
accord,world,10
buddha,vow,10
word,good,10
sensual,pleasur,10
blind,blind,14
peopl,peopl,12
possess,possess,27
reveal,gina,10
law,holi,10
buddha,holi,10
manifest,vehicl,14
leader,vehicl,12
feel,world,18
let,world,19
truth,world,12
tathâgata,thousand,52
tathâgata,number,13
tathâgata,count,13
past,æon,12
thousand,æon,41
buddha,æon,17
count,æon,12
thousand,count,11
buddha,rest,15
final,rest,20
count,number,10
be,vehicl,10
earth,earth,34
thousand,earth,12
ripe,ripe,10
ripe,koti,14
ripe,be,10
superior,gina,10
possess,world,12
tathâgata,world,45
tathâgata,enlighten,11
tathâgata,differ,14
be,tathâgata,15
enlighten,reveal,21
differ,world,10
be,superior,15
heard,world,13
tathâgata,law,15
tathâgata,follow,14
point,enlighten,14
perform,perform,11
be,time,13
time,live,16
worship,stûpa,14
sort,sort,10
sign,thirti,13
sign,characterist,12
tathâgata,stûpa,14
tathâgata,earth,14
tathâgata,imag,14
enlighten,place,10
thought,time,12
cours,time,11
koti,time,12
buddha,time,29
singl,buddha,11
salut,salut,12
join,salut,10
hand,salut,10
singl,moment,10
head,head,10
time,superior,10
homag,buddha,11
buddha,superior,11
buddha,enlighten,44
dai,extinct,10
exist,law,27
exist,enlighten,10
futur,koti,14
futur,gina,14
lord,buddha,19
suprem,reveal,13
be,endless,10
buddha,free,12
buddha,imperfect,10
free,imperfect,13
leader,hear,12
hear,enlighten,18
lead,law,12
lead,buddha,14
duti,enlighten,12
koti,expound,14
law,mention,12
earth,law,11
rule,world,16
earth,world,16
space,world,12
stand,world,12
sand,buddha,14
gang,buddha,12
buddha,expound,10
men,like,12
sand,be,16
be,gang,16
gang,world,14
honour,world,18
expound,enlighten,10
buddha,bless,13
buddha,inclin,10
vehicl,bless,10
vehicl,rest,12
time,place,11
bless,bless,14
bless,rest,16
leader,chief,15
koti,chief,12
thousand,direct,14
multifari,law,10
accord,mean,10
seek,seek,16
seek,buddha,12
pain,pain,17
great,exist,10
view,view,20
great,feel,14
great,compass,11
compass,compass,16
enlighten,tree,12
law,view,10
foot,tree,16
foot,foot,10
law,think,10
brahma,indra,10
point,thousand,10
hand,time,10
law,place,19
place,extinct,10
enlighten,skil,10
law,space,14
bodi,law,13
come,world,22
word,buddha,13
men,word,10
sweet,hear,10
voic,hear,36
men,hear,14
word,hear,11
men,sweet,10
voic,leader,12
leader,spoken,10
indic,world,10
have,world,22
dread,dread,13
law,come,21
wheel,wheel,15
wheel,law,27
law,arhat,10
nirvâna,world,14
arhat,arhat,11
preach,time,26
highest,thousand,12
highest,strive,12
face,face,19
law,idea,10
reveal,time,11
time,world,37
born,come,10
born,enlighten,10
dai,bodhisattva,10
doubt,buddha,12
buddha,discipl,27
saint,law,10
free,law,13
mighti,gina,15
leader,time,12
appear,time,10
preach,world,26
rare,law,12
koti,heard,16
be,heard,13
blossom,world,10
world,tree,16
buddha,far,10
good,law,20
word,law,14
law,honour,17
accept,accept,11
law,discipl,19
bodhisattva,discipl,17
have,sûtra,11
sûtra,heard,15
sûtra,gina,15
be,pure,10
understand,mysteri,10
buddha,mysteri,12
master,world,16
great,hear,23
feel,hear,12
law,equal,21
equal,world,12
dai,night,10
rank,rank,22
hear,gina,10
view,heret,10
lord,honour,16
have,reach,18
have,law,22
law,void,13
void,void,11
voic,world,14
voic,god,14
world,extinct,37
great,lord,16
buddha,come,13
buddha,hundr,10
law,truth,10
devic,law,10
abl,hundr,11
cours,lord,16
true,world,14
cours,world,20
voic,love,12
tathâgata,bodhisattva,87
wisdom,world,10
tathâgata,koti,18
be,sight,12
reach,buddha,16
have,enlighten,22
rich,æon,10
men,æon,10
rich,rich,13
rich,jewel,10
pure,field,10
bodhisattva,good,10
memori,good,14
come,good,10
men,intermedi,16
kalpa,men,18
æon,extinct,11
true,æon,10
continu,æon,11
æon,world,28
counterfeit,intermedi,10
kalpa,counterfeit,10
lord,time,24
preach,lord,14
predict,predict,14
hous,man,15
hous,hous,21
abod,abod,10
dog,jackal,10
hous,dread,11
man,properti,10
mass,mass,12
man,sai,14
young,young,20
young,man,25
young,good,11
famili,young,11
good,man,21
famili,good,14
father,father,17
think,man,33
son,man,36
reach,hear,10
man,see,11
throne,throne,11
young,son,20
possess,man,10
thousand,imag,10
person,person,19
give,man,14
be,great,12
protector,world,10
tripl,tripl,19
tripl,world,35
number,world,12
burn,world,10
show,world,10
transcend,scienc,10
bodhisattva,scienc,18
sweet,world,12
exalt,exalt,15
high,world,12
high,buddha,12
bodhisattva,jewel,22
low,world,10
practis,practis,10
declar,world,10
reach,world,20
rest,world,14
highest,world,16
word,time,10
word,world,16
speak,word,11
speak,sûtra,10
joyfulli,accept,12
sûtra,man,23
sûtra,tathâgata,10
sûtra,honour,10
tathâgata,honour,18
knowledg,good,10
person,law,17
scorn,scorn,12
sûtra,like,20
smell,smell,23
continu,enlighten,10
lord,earth,12
king,world,12
king,time,10
sûtra,æon,19
sand,equal,24
gang,equal,25
servant,servant,10
sûtra,expound,26
plant,plant,12
long,time,19
long,life,12
bodi,time,12
sûtra,time,19
sûtra,preach,18
sûtra,son,11
friend,friend,18
great,like,11
great,jewel,14
sûtra,great,17
sûtra,compass,10
sugata,sûtra,12
sûtra,keep,33
sûtra,know,10
stanza,singl,16
sûtra,singl,16
work,work,12
worship,sûtra,10
sûtra,enlighten,14
moment,hear,10
great,honour,10
thousand,koli,10
man,year,11
food,cloth,12
rich,man,21
be,man,13
poor,man,12
low,man,12
man,father,12
goe,man,10
man,time,12
man,thing,10
man,happi,10
lord,follow,13
path,path,11
path,enlighten,12
great,bodhisattva,15
bodhisattva,myriad,26
bodhisattva,koli,16
knowledg,time,10
long,buddha,10
abl,man,10
difficult,world,16
dai,buddha,11
suprem,discipl,10
brahma,world,13
brahma,brahma,13
abl,koti,14
accomplish,koti,10
abl,æon,12
hand,gang,11
complet,æon,24
sugata,æon,12
law,life,20
chief,law,14
cours,life,12
lord,life,10
life,world,10
lord,chief,10
leader,lord,14
faculti,accord,12
faculti,mean,10
cloud,cloud,17
rain,cloud,10
water,cloud,16
water,water,20
earth,tree,12
shrub,tree,10
great,tree,18
buddha,life,16
cloud,world,10
like,cloud,18
seer,god,10
includ,men,12
men,tathâgata,10
appear,tathâgata,18
bodi,world,14
tathâgata,lord,68
appear,lord,18
pure,law,10
love,law,12
faculti,law,17
middl,size,10
plant,men,10
plant,law,10
men,call,12
knowledg,possess,10
law,attain,12
law,transcend,10
possess,transcend,12
faculti,possess,12
men,chief,22
god,chief,10
forward,wheel,10
power,stand,11
bodhisattva,tree,15
endow,magic,11
magic,magic,19
magic,power,34
magic,thousand,12
magic,great,15
complet,medit,14
complet,hear,10
hear,earth,13
thousand,tree,10
law,alik,12
moon,sun,10
men,good,14
qualiti,qualiti,21
substanc,tathâgata,14
hear,sound,14
wisdom,transcend,10
endow,faculti,10
qualiti,good,16
know,rest,13
law,see,19
homag,men,10
koti,life,14
have,lord,27
odour,odour,11
magic,koti,14
mind,great,10
monk,discipl,10
bounteou,world,10
myriad,world,12
thousand,exist,11
mighti,world,13
bodhisattva,calcul,15
true,thousand,10
reach,æon,12
be,sound,10
preciou,world,14
sound,world,12
appear,bodhisattva,18
cours,discipl,12
dust,atom,10
mass,dust,10
know,knowledg,16
hundr,æon,18
long,world,19
aerial,car,18
car,car,22
quarter,gina,12
bless,world,10
thousand,salut,20
salut,world,15
car,world,12
light,world,13
tathâgata,tree,16
benign,world,10
complet,time,11
forward,law,15
demon,demon,20
preciou,rare,11
sight,world,13
preciou,lord,14
lord,tree,14
cours,observ,11
hear,æon,11
thousand,river,20
koti,river,10
be,river,10
gang,river,12
bodhisattva,equal,13
sand,law,10
bodhisattva,river,32
gang,law,10
bodhisattva,follow,20
demon,god,16
demon,nâga,10
demon,goblin,12
men,time,12
men,young,11
thousand,time,10
be,virtu,10
emin,koti,10
brahma,angel,11
angel,angel,13
thousand,angel,10
koti,angel,12
world,went,10
salut,lord,22
feet,lord,12
celebr,lord,12
man,world,18
koti,man,11
gang,lord,19
complet,sûtra,20
medit,gina,10
sûtra,period,13
sand,train,14
thousand,train,10
gang,train,19
wise,man,28
magic,world,12
birth,exist,11
thousand,extinct,14
true,long,12
robe,jewel,10
have,jewel,10
tathâgata,time,16
lord,littl,12
success,lord,12
life,durat,11
law,immens,10
gina,extinct,12
tathâgata,stand,14
men,sûtra,13
great,come,13
chief,extinct,12
sûtra,extinct,40
great,merit,10
flavour,divin,12
sûtra,advantag,10
sûtra,exalt,10
thousand,bodi,11
lai,femal,12
devote,femal,12
hear,extinct,12
leader,extinct,15
order,law,10
lord,extinct,16
flock,hither,12
lord,stûpa,18
sûtra,difficult,12
sûtra,moment,10
creatur,sûtra,19
obtain,law,11
have,tathâgata,26
hand,lord,12
bodi,lord,12
sphere,proper,10
produc,exist,12
bodhisattva,direct,19
bodhisattva,time,21
tathâgata,littl,14
dream,law,10
seat,throne,11
seat,tathâgata,25
throne,tathâgata,26
foot,tathâgata,14
have,thousand,21
gang,mahâsattva,12
gang,tathâgata,18
mahâsattva,river,16
river,lord,20
tathâgata,river,24
river,sâkyamuni,12
mahâsattva,bodhisattva,56
bodhisattva,train,18
bodhisattva,stand,14
bodhisattva,isol,14
bodhisattva,count,14
bodhisattva,compar,14
bodhisattva,known,14
bodhisattva,occult,14
bodhisattva,emerg,30
bodhisattva,gap,14
bodhisattva,earth,21
bodhisattva,saha,14
success,bodhisattva,16
bodhisattva,went,28
bodhisattva,stûpa,14
bodhisattva,preciou,14
substanc,bodhisattva,14
bodhisattva,stood,14
sky,bodhisattva,14
prabhûtaratna,bodhisattva,28
bodhisattva,extinct,20
seat,bodhisattva,28
bodhisattva,sâkyamuni,44
throne,bodhisattva,28
bodhisattva,salut,28
feet,bodhisattva,14
bodhisattva,imag,14
bodi,bodhisattva,17
foot,bodhisattva,14
bodhisattva,thereon,14
bodhisattva,circumambul,14
left,bodhisattva,14
right,bodhisattva,14
celebr,bodhisattva,14
bodhisattva,hymn,14
kept,bodhisattva,14
bodhisattva,littl,14
bodhisattva,distanc,14
join,bodhisattva,14
hand,bodhisattva,14
bodhisattva,stretch,14
bodhisattva,honour,14
mahâsattva,mahâsattva,16
have,mahâsattva,16
thousand,mahâsattva,32
mahâsattva,emerg,16
mahâsattva,world,16
mahâsattva,went,16
mahâsattva,lord,40
prabhûtaratna,mahâsattva,16
tathâgata,mahâsattva,48
seat,mahâsattva,16
mahâsattva,sâkyamuni,24
throne,mahâsattva,16
mahâsattva,salut,16
have,sâkyamuni,12
koti,train,10
lord,train,12
tathâgata,train,12
thousand,calcul,10
thousand,emerg,16
prabhûtaratna,thousand,16
seat,thousand,16
thousand,sâkyamuni,24
thousand,throne,16
thousand,left,10
thousand,celebr,10
lord,myriad,10
tathâgata,myriad,12
koli,lord,10
tathâgata,koli,12
lord,stand,10
lord,isol,10
tathâgata,isol,12
lord,number,10
lord,count,10
calcul,lord,10
tathâgata,calcul,12
lord,compar,10
tathâgata,compar,12
tathâgata,known,12
lord,occult,10
tathâgata,occult,12
lord,scienc,10
tathâgata,scienc,14
lord,emerg,20
tathâgata,emerg,24
sâkyamuni,emerg,12
lord,gap,10
tathâgata,gap,12
lord,saha,10
tathâgata,saha,12
sâkyamuni,world,12
success,tathâgata,12
lord,went,20
tathâgata,went,24
sâkyamuni,went,12
tathâgata,preciou,14
substanc,lord,10
lord,stood,10
tathâgata,stood,12
sky,lord,10
tathâgata,sky,12
prabhûtaratna,lord,20
lord,sâkyamuni,31
throne,lord,20
lord,imag,10
produc,lord,10
foot,lord,10
